location_country,location_level,location_name,location_code,location_code_type,reference_date,measure,case_classification,time_period,value,unit,source,source_url,source_indicator_name,indicator_label,reporting_period_start,reporting_period_end,last_updated,data_quality_flag,notes
COD,3,Bunia,CD540202,pcode,2026-05-27,cases,recovered,cumulative,0,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Bunia,CD540202,pcode,2026-05-27,cases,suspected,cumulative,249,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Bunia,CD540202,pcode,2026-05-27,contacts,,cumulative,404,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Bunia,CD540202,pcode,2026-05-27,deaths,suspected,cumulative,48,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Nyakunde,CD540205,pcode,2026-05-27,cases,confirmed,cumulative,10,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Nyakunde,CD540205,pcode,2026-05-27,cases,recovered,cumulative,0,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Nyakunde,CD540205,pcode,2026-05-27,cases,suspected,cumulative,45,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Nyakunde,CD540205,pcode,2026-05-27,contacts,,cumulative,397,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Nyakunde,CD540205,pcode,2026-05-27,deaths,suspected,cumulative,11,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Rwampara,CD540206,pcode,2026-05-27,cases,confirmed,cumulative,33,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Rwampara,CD540206,pcode,2026-05-27,cases,recovered,cumulative,0,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Rwampara,CD540206,pcode,2026-05-27,cases,suspected,cumulative,228,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Rwampara,CD540206,pcode,2026-05-27,contacts,,cumulative,697,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Rwampara,CD540206,pcode,2026-05-27,deaths,suspected,cumulative,69,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Bambu,CD540501,pcode,2026-05-27,cases,confirmed,cumulative,0,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Bambu,CD540501,pcode,2026-05-27,cases,recovered,cumulative,0,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Bambu,CD540501,pcode,2026-05-27,cases,suspected,cumulative,6,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Bambu,CD540501,pcode,2026-05-27,contacts,,cumulative,244,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Bambu,CD540501,pcode,2026-05-27,deaths,suspected,cumulative,2,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Kilo,CD540506,pcode,2026-05-27,cases,confirmed,cumulative,1,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Kilo,CD540506,pcode,2026-05-27,cases,suspected,cumulative,8,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Kilo,CD540506,pcode,2026-05-27,contacts,,cumulative,41,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Kilo,CD540506,pcode,2026-05-27,deaths,confirmed,cumulative,0,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Kilo,CD540506,pcode,2026-05-27,deaths,suspected,cumulative,2,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Mongbalu,CD540510,pcode,2026-05-27,cases,confirmed,cumulative,20,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Mongbalu,CD540510,pcode,2026-05-27,cases,recovered,cumulative,0,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Mongbalu,CD540510,pcode,2026-05-27,cases,suspected,cumulative,339,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Mongbalu,CD540510,pcode,2026-05-27,contacts,,cumulative,222,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Mongbalu,CD540510,pcode,2026-05-27,deaths,suspected,cumulative,88,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Nizi,CD540511,pcode,2026-05-27,cases,confirmed,cumulative,2,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Nizi,CD540511,pcode,2026-05-27,cases,suspected,cumulative,6,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Nizi,CD540511,pcode,2026-05-27,contacts,,cumulative,220,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Nizi,CD540511,pcode,2026-05-27,deaths,confirmed,cumulative,0,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Nizi,CD540511,pcode,2026-05-27,deaths,suspected,cumulative,2,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Aru,CD540904,pcode,2026-05-27,cases,confirmed,cumulative,1,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Aru,CD540904,pcode,2026-05-27,cases,probable,cumulative,0,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Aru,CD540904,pcode,2026-05-27,cases,recovered,cumulative,0,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Aru,CD540904,pcode,2026-05-27,cases,suspected,cumulative,4,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Aru,CD540904,pcode,2026-05-27,contacts,,cumulative,0,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Aru,CD540904,pcode,2026-05-27,deaths,confirmed,cumulative,0,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Aru,CD540904,pcode,2026-05-27,deaths,suspected,cumulative,1,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Goma,CD610101,pcode,2026-05-27,cases,confirmed,cumulative,1,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Goma,CD610101,pcode,2026-05-27,cases,recovered,cumulative,0,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Goma,CD610101,pcode,2026-05-27,contacts,,cumulative,74,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Goma,CD610101,pcode,2026-05-27,deaths,suspected,cumulative,0,count,,,,,2026-05-24,2026-05-27,,,
COD,3,Karisimbi,CD610102,pcode,2026-05-27,contacts,,cumulative,181,count,,,,,2026-05-24,2026-05-27,,,
